REF_DATE	GEO	National Occupational Classification (NOC)	VALUE
2006	Nova Scotia	Professional occupations in art and culture [51]	3.3
2006	Nova Scotia	Technical occupations in art, culture, recreation and sport [52]	5.8
2006	Nova Scotia	Sales and service occupations [6]	126.2
2006	Nova Scotia	Retail sales supervisors and specialized sales occupations [62]	12
2006	Nova Scotia	Service supervisors and specialized service occupations [63]	16.1
2006	Nova Scotia	Sales representatives and salespersons - wholesale and retail trade [64]	22.4
2006	Nova Scotia	Service representatives and other customer and personal services occupations [65]	29.8
2006	Nova Scotia	Sales support occupations [66]	20.7
2006	Nova Scotia	Service support and other service occupations, n.e.c. [67]	25.2
2006	Nova Scotia	Trades, transport and equipment operators and related occupations [7]	59
2006	Nova Scotia	Industrial, electrical and construction trades [72]	20.3
2006	Nova Scotia	Maintenance and equipment operation trades [73]	13.5
2006	Nova Scotia	Other installers, repairers and servicers and material handlers [74]	5.7
2006	Nova Scotia	Transport and heavy equipment operation and related maintenance occupations [75]	15.8
2006	Nova Scotia	Trades helpers, construction labourers and related occupations [76]	3.6
2006	Nova Scotia	Natural resources, agriculture and related production occupations [8]	14.6
2006	Nova Scotia	Supervisors and technical occupations in natural resources, agriculture and related production [82]	7.7
2006	Nova Scotia	Workers in natural resources, agriculture and related production [84]	4.5
2006	Nova Scotia	Harvesting, landscaping and natural resources labourers [86]	2.4
2006	Nova Scotia	Occupations in manufacturing and utilities [9]	21.5
2006	Nova Scotia	Processing, manufacturing and utilities supervisors and central control operators [92]	3.9
2006	Nova Scotia	Processing and manufacturing machine operators and related production workers [94]	10
2006	Nova Scotia	Assemblers in manufacturing [95]	3.7
2006	Nova Scotia	Labourers in processing, manufacturing and utilities [96]	3.9
2006	New Brunswick	Total employed, all occupations	349.6
2006	New Brunswick	Management occupations [0]	30.7
2006	New Brunswick	Senior management occupations [00]	1.2
2006	New Brunswick	Specialized middle management occupations [01-05]	9.5
2006	New Brunswick	Middle management occupations in retail and wholesale trade and customer services [06]	13
2006	New Brunswick	Middle management occupations in trades, transportation, production and utilities [07-09]	7
2006	New Brunswick	Business, finance and administration occupations [1]	49.8
2006	New Brunswick	Professional occupations in business and finance [11]	8.3
2006	New Brunswick	Administrative and financial supervisors and administrative occupations [12]	14.4
2006	New Brunswick	Finance, insurance and related business administrative occupations [13]	3.5
2006	New Brunswick	Office support occupations [14]	16.6
2006	New Brunswick	Distribution, tracking and scheduling co-ordination occupations [15]	7
2006	New Brunswick	Natural and applied sciences and related occupations [2]	17.4
2006	New Brunswick	Professional occupations in natural and applied sciences [21]	7.9
2006	New Brunswick	Technical occupations related to natural and applied sciences [22]	9.5
2006	New Brunswick	Health occupations [3]	26
2006	New Brunswick	Professional occupations in nursing [30]	8.2
2006	New Brunswick	Professional occupations in health (except nursing) [31]	4
2006	New Brunswick	Technical occupations in health [32]	7.9
2006	New Brunswick	Assisting occupations in support of health services [34]	5.8
2006	New Brunswick	Occupations in education, law and social, community and government services [4]	37.1
2006	New Brunswick	Professional occupations in education services [40]	15
2006	New Brunswick	Professional occupations in law and social, community and government services [41]	6.3
2006	New Brunswick	Paraprofessional occupations in legal, social, community and education services [42]	4.7
2006	New Brunswick	Occupations in front-line public protection services [43]	1.6
2006	New Brunswick	Care providers and educational, legal and public protection support occupations [44]	9.4
2006	New Brunswick	Occupations in art, culture, recreation and sport [5]	6.6
2006	New Brunswick	Professional occupations in art and culture [51]	2.1
2006	New Brunswick	Technical occupations in art, culture, recreation and sport [52]	4.5
2006	New Brunswick	Sales and service occupations [6]	96.6
2006	New Brunswick	Retail sales supervisors and specialized sales occupations [62]	9.5
2006	New Brunswick	Service supervisors and specialized service occupations [63]	14
2006	New Brunswick	Sales representatives and salespersons - wholesale and retail trade [64]	15.2
2006	New Brunswick	Service representatives and other customer and personal services occupations [65]	22.7
2006	New Brunswick	Sales support occupations [66]	15.9
