REF_DATE	GEO	National Occupational Classification (NOC)	VALUE
2008	New Brunswick	Professional occupations in art and culture [51]	2.3
2008	New Brunswick	Technical occupations in art, culture, recreation and sport [52]	3.8
2008	New Brunswick	Sales and service occupations [6]	94.8
2008	New Brunswick	Retail sales supervisors and specialized sales occupations [62]	10.4
2008	New Brunswick	Service supervisors and specialized service occupations [63]	13.7
2008	New Brunswick	Sales representatives and salespersons - wholesale and retail trade [64]	14.4
2008	New Brunswick	Service representatives and other customer and personal services occupations [65]	22.5
2008	New Brunswick	Sales support occupations [66]	15.3
2008	New Brunswick	Service support and other service occupations, n.e.c. [67]	18.5
2008	New Brunswick	Trades, transport and equipment operators and related occupations [7]	56.4
2008	New Brunswick	Industrial, electrical and construction trades [72]	19.5
2008	New Brunswick	Maintenance and equipment operation trades [73]	13.5
2008	New Brunswick	Other installers, repairers and servicers and material handlers [74]	4.5
2008	New Brunswick	Transport and heavy equipment operation and related maintenance occupations [75]	15.1
2008	New Brunswick	Trades helpers, construction labourers and related occupations [76]	3.7
2008	New Brunswick	Natural resources, agriculture and related production occupations [8]	11.5
2008	New Brunswick	Supervisors and technical occupations in natural resources, agriculture and related production [82]	4.4
2008	New Brunswick	Workers in natural resources, agriculture and related production [84]	4
2008	New Brunswick	Harvesting, landscaping and natural resources labourers [86]	3.1
2008	New Brunswick	Occupations in manufacturing and utilities [9]	15.6
2008	New Brunswick	Processing, manufacturing and utilities supervisors and central control operators [92]	2.7
2008	New Brunswick	Processing and manufacturing machine operators and related production workers [94]	7.3
2008	New Brunswick	Assemblers in manufacturing [95]	1.7
2008	New Brunswick	Labourers in processing, manufacturing and utilities [96]	3.9
2008	Quebec	Total employed, all occupations	3870
2008	Quebec	Management occupations [0]	378.5
2008	Quebec	Senior management occupations [00]	18.4
2008	Quebec	Specialized middle management occupations [01-05]	112.8
2008	Quebec	Middle management occupations in retail and wholesale trade and customer services [06]	141
2008	Quebec	Middle management occupations in trades, transportation, production and utilities [07-09]	106.3
2008	Quebec	Business, finance and administration occupations [1]	634.3
2008	Quebec	Professional occupations in business and finance [11]	127
2008	Quebec	Administrative and financial supervisors and administrative occupations [12]	197.2
2008	Quebec	Finance, insurance and related business administrative occupations [13]	30.6
2008	Quebec	Office support occupations [14]	204.4
2008	Quebec	Distribution, tracking and scheduling co-ordination occupations [15]	75.1
2008	Quebec	Natural and applied sciences and related occupations [2]	271.1
2008	Quebec	Professional occupations in natural and applied sciences [21]	144.9
2008	Quebec	Technical occupations related to natural and applied sciences [22]	126.2
2008	Quebec	Health occupations [3]	246
2008	Quebec	Professional occupations in nursing [30]	62.9
2008	Quebec	Professional occupations in health (except nursing) [31]	49.8
2008	Quebec	Technical occupations in health [32]	67.4
2008	Quebec	Assisting occupations in support of health services [34]	65.8
2008	Quebec	Occupations in education, law and social, community and government services [4]	408.1
2008	Quebec	Professional occupations in education services [40]	155.2
2008	Quebec	Professional occupations in law and social, community and government services [41]	88.9
2008	Quebec	Paraprofessional occupations in legal, social, community and education services [42]	104.7
2008	Quebec	Occupations in front-line public protection services [43]	21.4
2008	Quebec	Care providers and educational, legal and public protection support occupations [44]	37.8
2008	Quebec	Occupations in art, culture, recreation and sport [5]	127.7
2008	Quebec	Professional occupations in art and culture [51]	47.6
2008	Quebec	Technical occupations in art, culture, recreation and sport [52]	80.1
2008	Quebec	Sales and service occupations [6]	962.2
2008	Quebec	Retail sales supervisors and specialized sales occupations [62]	100.3
2008	Quebec	Service supervisors and specialized service occupations [63]	143.5
2008	Quebec	Sales representatives and salespersons - wholesale and retail trade [64]	173.9
2008	Quebec	Service representatives and other customer and personal services occupations [65]	196.8
2008	Quebec	Sales support occupations [66]	141.8
2008	Quebec	Service support and other service occupations, n.e.c. [67]	205.9
2008	Quebec	Trades, transport and equipment operators and related occupations [7]	550.4
2008	Quebec	Industrial, electrical and construction trades [72]	192.2
2008	Quebec	Maintenance and equipment operation trades [73]	126.5
2008	Quebec	Other installers, repairers and servicers and material handlers [74]	67.6
2008	Quebec	Transport and heavy equipment operation and related maintenance occupations [75]	138
2008	Quebec	Trades helpers, construction labourers and related occupations [76]	26
2008	Quebec	Natural resources, agriculture and related production occupations [8]	55.2
2008	Quebec	Supervisors and technical occupations in natural resources, agriculture and related production [82]	19.1
2008	Quebec	Workers in natural resources, agriculture and related production [84]	23.4
2008	Quebec	Harvesting, landscaping and natural resources labourers [86]	12.7
2008	Quebec	Occupations in manufacturing and utilities [9]	236.4
2008	Quebec	Processing, manufacturing and utilities supervisors and central control operators [92]	38
2008	Quebec	Processing and manufacturing machine operators and related production workers [94]	106.7
2008	Quebec	Assemblers in manufacturing [95]	50.5
2008	Quebec	Labourers in processing, manufacturing and utilities [96]	41.3
2008	Ontario	Total employed, all occupations	6587.7
2008	Ontario	Management occupations [0]	700.8
2008	Ontario	Senior management occupations [00]	31.3
2008	Ontario	Specialized middle management occupations [01-05]	238
2008	Ontario	Middle management occupations in retail and wholesale trade and customer services [06]	252.6
2008	Ontario	Middle management occupations in trades, transportation, production and utilities [07-09]	178.9
2008	Ontario	Business, finance and administration occupations [1]	1140.6
2008	Ontario	Professional occupations in business and finance [11]	260.7
2008	Ontario	Administrative and financial supervisors and administrative occupations [12]	315.7
2008	Ontario	Finance, insurance and related business administrative occupations [13]	81
2008	Ontario	Office support occupations [14]	335
2008	Ontario	Distribution, tracking and scheduling co-ordination occupations [15]	148.2
2008	Ontario	Natural and applied sciences and related occupations [2]	493.8
2008	Ontario	Professional occupations in natural and applied sciences [21]	289.1
2008	Ontario	Technical occupations related to natural and applied sciences [22]	204.6
2008	Ontario	Health occupations [3]	380.1
2008	Ontario	Professional occupations in nursing [30]	95.5
2008	Ontario	Professional occupations in health (except nursing) [31]	89.3
2008	Ontario	Technical occupations in health [32]	98.7
2008	Ontario	Assisting occupations in support of health services [34]	96.7
2008	Ontario	Occupations in education, law and social, community and government services [4]	701.1
2008	Ontario	Professional occupations in education services [40]	280.2
2008	Ontario	Professional occupations in law and social, community and government services [41]	154.6
2008	Ontario	Paraprofessional occupations in legal, social, community and education services [42]	131.6
2008	Ontario	Occupations in front-line public protection services [43]	43.7
2008	Ontario	Care providers and educational, legal and public protection support occupations [44]	91.1
2008	Ontario	Occupations in art, culture, recreation and sport [5]	208.6
2008	Ontario	Professional occupations in art and culture [51]	83.4
2008	Ontario	Technical occupations in art, culture, recreation and sport [52]	125.3
2008	Ontario	Sales and service occupations [6]	1554.5
2008	Ontario	Retail sales supervisors and specialized sales occupations [62]	192.8
2008	Ontario	Service supervisors and specialized service occupations [63]	200.8
2008	Ontario	Sales representatives and salespersons - wholesale and retail trade [64]	307.5
2008	Ontario	Service representatives and other customer and personal services occupations [65]	305.1
2008	Ontario	Sales support occupations [66]	232.7
2008	Ontario	Service support and other service occupations, n.e.c. [67]	315.6
2008	Ontario	Trades, transport and equipment operators and related occupations [7]	901.3
2008	Ontario	Industrial, electrical and construction trades [72]	318.4
2008	Ontario	Maintenance and equipment operation trades [73]	207.7
2008	Ontario	Other installers, repairers and servicers and material handlers [74]	108
2008	Ontario	Transport and heavy equipment operation and related maintenance occupations [75]	215
2008	Ontario	Trades helpers, construction labourers and related occupations [76]	52.1
2008	Ontario	Natural resources, agriculture and related production occupations [8]	87.7
2008	Ontario	Supervisors and technical occupations in natural resources, agriculture and related production [82]	31.8
2008	Ontario	Workers in natural resources, agriculture and related production [84]	29.2
2008	Ontario	Harvesting, landscaping and natural resources labourers [86]	26.6
2008	Ontario	Occupations in manufacturing and utilities [9]	419.2
2008	Ontario	Processing, manufacturing and utilities supervisors and central control operators [92]	78.8
2008	Ontario	Processing and manufacturing machine operators and related production workers [94]	162
2008	Ontario	Assemblers in manufacturing [95]	101.2
2008	Ontario	Labourers in processing, manufacturing and utilities [96]	77.1
2008	Manitoba	Total employed, all occupations	599.2
2008	Manitoba	Management occupations [0]	63.7
2008	Manitoba	Senior management occupations [00]	1.8
2008	Manitoba	Specialized middle management occupations [01-05]	15
2008	Manitoba	Middle management occupations in retail and wholesale trade and customer services [06]	18.7
2008	Manitoba	Middle management occupations in trades, transportation, production and utilities [07-09]	28.2
2008	Manitoba	Business, finance and administration occupations [1]	95.9
2008	Manitoba	Professional occupations in business and finance [11]	16.3
2008	Manitoba	Administrative and financial supervisors and administrative occupations [12]	23.8
2008	Manitoba	Finance, insurance and related business administrative occupations [13]	7.1
2008	Manitoba	Office support occupations [14]	36
2008	Manitoba	Distribution, tracking and scheduling co-ordination occupations [15]	12.7
2008	Manitoba	Natural and applied sciences and related occupations [2]	34
2008	Manitoba	Professional occupations in natural and applied sciences [21]	15.4
2008	Manitoba	Technical occupations related to natural and applied sciences [22]	18.6
2008	Manitoba	Health occupations [3]	44.1
2008	Manitoba	Professional occupations in nursing [30]	12
2008	Manitoba	Professional occupations in health (except nursing) [31]	6.2
2008	Manitoba	Technical occupations in health [32]	10.7
2008	Manitoba	Assisting occupations in support of health services [34]	15.2
2008	Manitoba	Occupations in education, law and social, community and government services [4]	64.6
2008	Manitoba	Professional occupations in education services [40]	23.2
2008	Manitoba	Professional occupations in law and social, community and government services [41]	12.3
2008	Manitoba	Paraprofessional occupations in legal, social, community and education services [42]	11.4
2008	Manitoba	Occupations in front-line public protection services [43]	4.4
2008	Manitoba	Care providers and educational, legal and public protection support occupations [44]	13.3
2008	Manitoba	Occupations in art, culture, recreation and sport [5]	12.2
2008	Manitoba	Professional occupations in art and culture [51]	4.3
2008	Manitoba	Technical occupations in art, culture, recreation and sport [52]	7.9
2008	Manitoba	Sales and service occupations [6]	142.6
2008	Manitoba	Retail sales supervisors and specialized sales occupations [62]	16.1
2008	Manitoba	Service supervisors and specialized service occupations [63]	22.4
2008	Manitoba	Sales representatives and salespersons - wholesale and retail trade [64]	24.7
2008	Manitoba	Service representatives and other customer and personal services occupations [65]	30.8
2008	Manitoba	Sales support occupations [66]	20
2008	Manitoba	Service support and other service occupations, n.e.c. [67]	28.6
2008	Manitoba	Trades, transport and equipment operators and related occupations [7]	90.8
2008	Manitoba	Industrial, electrical and construction trades [72]	31.1
2008	Manitoba	Maintenance and equipment operation trades [73]	22.7
2008	Manitoba	Other installers, repairers and servicers and material handlers [74]	6.7
2008	Manitoba	Transport and heavy equipment operation and related maintenance occupations [75]	24.1
2008	Manitoba	Trades helpers, construction labourers and related occupations [76]	6.1
2008	Manitoba	Natural resources, agriculture and related production occupations [8]	13.6
2008	Manitoba	Supervisors and technical occupations in natural resources, agriculture and related production [82]	3.6
2008	Manitoba	Workers in natural resources, agriculture and related production [84]	7.4
2008	Manitoba	Harvesting, landscaping and natural resources labourers [86]	2.6
2008	Manitoba	Occupations in manufacturing and utilities [9]	37.8
2008	Manitoba	Processing, manufacturing and utilities supervisors and central control operators [92]	6.2
2008	Manitoba	Processing and manufacturing machine operators and related production workers [94]	15.8
2008	Manitoba	Assemblers in manufacturing [95]	10.1
2008	Manitoba	Labourers in processing, manufacturing and utilities [96]	5.7
2008	Saskatchewan	Total employed, all occupations	516.7
2008	Saskatchewan	Management occupations [0]	72.4
2008	Saskatchewan	Senior management occupations [00]	1
2008	Saskatchewan	Specialized middle management occupations [01-05]	12.1
2008	Saskatchewan	Middle management occupations in retail and wholesale trade and customer services [06]	18
2008	Saskatchewan	Middle management occupations in trades, transportation, production and utilities [07-09]	41.3
2008	Saskatchewan	Business, finance and administration occupations [1]	73.3
2008	Saskatchewan	Professional occupations in business and finance [11]	12.2
2008	Saskatchewan	Administrative and financial supervisors and administrative occupations [12]	19.5
2008	Saskatchewan	Finance, insurance and related business administrative occupations [13]	7.7
2008	Saskatchewan	Office support occupations [14]	25.6
2008	Saskatchewan	Distribution, tracking and scheduling co-ordination occupations [15]	8.3
2008	Saskatchewan	Natural and applied sciences and related occupations [2]	26.4
2008	Saskatchewan	Professional occupations in natural and applied sciences [21]	12.1
2008	Saskatchewan	Technical occupations related to natural and applied sciences [22]	14.4
2008	Saskatchewan	Health occupations [3]	34.4
2008	Saskatchewan	Professional occupations in nursing [30]	9.1
2008	Saskatchewan	Professional occupations in health (except nursing) [31]	5.6
2008	Saskatchewan	Technical occupations in health [32]	8.9
2008	Saskatchewan	Assisting occupations in support of health services [34]	10.9
2008	Saskatchewan	Occupations in education, law and social, community and government services [4]	51.2
2008	Saskatchewan	Professional occupations in education services [40]	20.6
2008	Saskatchewan	Professional occupations in law and social, community and government services [41]	9.5
2008	Saskatchewan	Paraprofessional occupations in legal, social, community and education services [42]	9.5
2008	Saskatchewan	Occupations in front-line public protection services [43]	2.7
2008	Saskatchewan	Care providers and educational, legal and public protection support occupations [44]	8.9
2008	Saskatchewan	Occupations in art, culture, recreation and sport [5]	9.8
2008	Saskatchewan	Professional occupations in art and culture [51]	3.7
2008	Saskatchewan	Technical occupations in art, culture, recreation and sport [52]	6.2
2008	Saskatchewan	Sales and service occupations [6]	124.8
2008	Saskatchewan	Retail sales supervisors and specialized sales occupations [62]	15.4
2008	Saskatchewan	Service supervisors and specialized service occupations [63]	17.1
2008	Saskatchewan	Sales representatives and salespersons - wholesale and retail trade [64]	23.4
2008	Saskatchewan	Service representatives and other customer and personal services occupations [65]	23.6
2008	Saskatchewan	Sales support occupations [66]	17.9
2008	Saskatchewan	Service support and other service occupations, n.e.c. [67]	27.4
2008	Saskatchewan	Trades, transport and equipment operators and related occupations [7]	84.6
2008	Saskatchewan	Industrial, electrical and construction trades [72]	29.4
2008	Saskatchewan	Maintenance and equipment operation trades [73]	20.3
2008	Saskatchewan	Other installers, repairers and servicers and material handlers [74]	6.9
2008	Saskatchewan	Transport and heavy equipment operation and related maintenance occupations [75]	22.9
2008	Saskatchewan	Trades helpers, construction labourers and related occupations [76]	5.1
2008	Saskatchewan	Natural resources, agriculture and related production occupations [8]	21.5
2008	Saskatchewan	Supervisors and technical occupations in natural resources, agriculture and related production [82]	8.7
2008	Saskatchewan	Workers in natural resources, agriculture and related production [84]	8.5
2008	Saskatchewan	Harvesting, landscaping and natural resources labourers [86]	4.3
2008	Saskatchewan	Occupations in manufacturing and utilities [9]	18.3
2008	Saskatchewan	Processing, manufacturing and utilities supervisors and central control operators [92]	6.5
2008	Saskatchewan	Processing and manufacturing machine operators and related production workers [94]	4.4
2008	Saskatchewan	Assemblers in manufacturing [95]	3.9
2008	Saskatchewan	Labourers in processing, manufacturing and utilities [96]	3.4
2008	Alberta	Total employed, all occupations	2048.6
2008	Alberta	Management occupations [0]	211.5
2008	Alberta	Senior management occupations [00]	5.7
2008	Alberta	Specialized middle management occupations [01-05]	48
2008	Alberta	Middle management occupations in retail and wholesale trade and customer services [06]	69.6
2008	Alberta	Middle management occupations in trades, transportation, production and utilities [07-09]	88.2
2008	Alberta	Business, finance and administration occupations [1]	351.9
2008	Alberta	Professional occupations in business and finance [11]	71.9
2008	Alberta	Administrative and financial supervisors and administrative occupations [12]	86.1
2008	Alberta	Finance, insurance and related business administrative occupations [13]	38
2008	Alberta	Office support occupations [14]	116.3
2008	Alberta	Distribution, tracking and scheduling co-ordination occupations [15]	39.7
2008	Alberta	Natural and applied sciences and related occupations [2]	155
2008	Alberta	Professional occupations in natural and applied sciences [21]	84.2
2008	Alberta	Technical occupations related to natural and applied sciences [22]	70.7
2008	Alberta	Health occupations [3]	104.2
2008	Alberta	Professional occupations in nursing [30]	30.6
2008	Alberta	Professional occupations in health (except nursing) [31]	22
2008	Alberta	Technical occupations in health [32]	27.8
2008	Alberta	Assisting occupations in support of health services [34]	23.8
2008	Alberta	Occupations in education, law and social, community and government services [4]	181.9
2008	Alberta	Professional occupations in education services [40]	68.4
2008	Alberta	Professional occupations in law and social, community and government services [41]	41
2008	Alberta	Paraprofessional occupations in legal, social, community and education services [42]	33.6
2008	Alberta	Occupations in front-line public protection services [43]	10.1
2008	Alberta	Care providers and educational, legal and public protection support occupations [44]	28.7
2008	Alberta	Occupations in art, culture, recreation and sport [5]	43.4
2008	Alberta	Professional occupations in art and culture [51]	14
2008	Alberta	Technical occupations in art, culture, recreation and sport [52]	29.4
2008	Alberta	Sales and service occupations [6]	466.1
2008	Alberta	Retail sales supervisors and specialized sales occupations [62]	63.3
2008	Alberta	Service supervisors and specialized service occupations [63]	61.4
2008	Alberta	Sales representatives and salespersons - wholesale and retail trade [64]	95.5
2008	Alberta	Service representatives and other customer and personal services occupations [65]	93.3
2008	Alberta	Sales support occupations [66]	60.5
2008	Alberta	Service support and other service occupations, n.e.c. [67]	92.1
2008	Alberta	Trades, transport and equipment operators and related occupations [7]	386.7
2008	Alberta	Industrial, electrical and construction trades [72]	156.9
2008	Alberta	Maintenance and equipment operation trades [73]	83
2008	Alberta	Other installers, repairers and servicers and material handlers [74]	37.7
2008	Alberta	Transport and heavy equipment operation and related maintenance occupations [75]	87.3
2008	Alberta	Trades helpers, construction labourers and related occupations [76]	21.9
2008	Alberta	Natural resources, agriculture and related production occupations [8]	79.2
2008	Alberta	Supervisors and technical occupations in natural resources, agriculture and related production [82]	42.2
2008	Alberta	Workers in natural resources, agriculture and related production [84]	21.8
2008	Alberta	Harvesting, landscaping and natural resources labourers [86]	15.3
2008	Alberta	Occupations in manufacturing and utilities [9]	68.5
2008	Alberta	Processing, manufacturing and utilities supervisors and central control operators [92]	26.5
2008	Alberta	Processing and manufacturing machine operators and related production workers [94]	20.5
2008	Alberta	Assemblers in manufacturing [95]	10.7
2008	Alberta	Labourers in processing, manufacturing and utilities [96]	10.9
2008	British Columbia	Total employed, all occupations	2238.7
2008	British Columbia	Management occupations [0]	229
2008	British Columbia	Senior management occupations [00]	12
2008	British Columbia	Specialized middle management occupations [01-05]	62.1
2008	British Columbia	Middle management occupations in retail and wholesale trade and customer services [06]	88.8
2008	British Columbia	Middle management occupations in trades, transportation, production and utilities [07-09]	66.1
2008	British Columbia	Business, finance and administration occupations [1]	366.4
2008	British Columbia	Professional occupations in business and finance [11]	77.1
2008	British Columbia	Administrative and financial supervisors and administrative occupations [12]	96.1
2008	British Columbia	Finance, insurance and related business administrative occupations [13]	31.1
2008	British Columbia	Office support occupations [14]	119.2
2008	British Columbia	Distribution, tracking and scheduling co-ordination occupations [15]	42.8
2008	British Columbia	Natural and applied sciences and related occupations [2]	145.5
2008	British Columbia	Professional occupations in natural and applied sciences [21]	75.8
2008	British Columbia	Technical occupations related to natural and applied sciences [22]	69.7
2008	British Columbia	Health occupations [3]	136.4
2008	British Columbia	Professional occupations in nursing [30]	33.6
2008	British Columbia	Professional occupations in health (except nursing) [31]	35.6
2008	British Columbia	Technical occupations in health [32]	35.8
2008	British Columbia	Assisting occupations in support of health services [34]	31.3
2008	British Columbia	Occupations in education, law and social, community and government services [4]	222.2
2008	British Columbia	Professional occupations in education services [40]	83.6
2008	British Columbia	Professional occupations in law and social, community and government services [41]	47.9
2008	British Columbia	Paraprofessional occupations in legal, social, community and education services [42]	43.1
2008	British Columbia	Occupations in front-line public protection services [43]	13.3
2008	British Columbia	Care providers and educational, legal and public protection support occupations [44]	34.4
2008	British Columbia	Occupations in art, culture, recreation and sport [5]	68.4
2008	British Columbia	Professional occupations in art and culture [51]	25.3
2008	British Columbia	Technical occupations in art, culture, recreation and sport [52]	43.1
2008	British Columbia	Sales and service occupations [6]	572
2008	British Columbia	Retail sales supervisors and specialized sales occupations [62]	71.8
2008	British Columbia	Service supervisors and specialized service occupations [63]	82.2
2008	British Columbia	Sales representatives and salespersons - wholesale and retail trade [64]	109
2008	British Columbia	Service representatives and other customer and personal services occupations [65]	115.7
2008	British Columbia	Sales support occupations [66]	75.9
2008	British Columbia	Service support and other service occupations, n.e.c. [67]	117.3
2008	British Columbia	Trades, transport and equipment operators and related occupations [7]	361.8
2008	British Columbia	Industrial, electrical and construction trades [72]	143.1
2008	British Columbia	Maintenance and equipment operation trades [73]	76.1
2008	British Columbia	Other installers, repairers and servicers and material handlers [74]	34.2
2008	British Columbia	Transport and heavy equipment operation and related maintenance occupations [75]	81.6
2008	British Columbia	Trades helpers, construction labourers and related occupations [76]	26.8
2008	British Columbia	Natural resources, agriculture and related production occupations [8]	50
2008	British Columbia	Supervisors and technical occupations in natural resources, agriculture and related production [82]	20.8
2008	British Columbia	Workers in natural resources, agriculture and related production [84]	13.4
2008	British Columbia	Harvesting, landscaping and natural resources labourers [86]	15.8
2008	British Columbia	Occupations in manufacturing and utilities [9]	87
2008	British Columbia	Processing, manufacturing and utilities supervisors and central control operators [92]	20.2
2008	British Columbia	Processing and manufacturing machine operators and related production workers [94]	35.6
2008	British Columbia	Assemblers in manufacturing [95]	13.1
2008	British Columbia	Labourers in processing, manufacturing and utilities [96]	18.1
2009	Newfoundland and Labrador	Total employed, all occupations	214.3
2009	Newfoundland and Labrador	Management occupations [0]	16.8
2009	Newfoundland and Labrador	Senior management occupations [00]	0.9
2009	Newfoundland and Labrador	Specialized middle management occupations [01-05]	6.2
2009	Newfoundland and Labrador	Middle management occupations in retail and wholesale trade and customer services [06]	6.4
2009	Newfoundland and Labrador	Middle management occupations in trades, transportation, production and utilities [07-09]	3.4
2009	Newfoundland and Labrador	Business, finance and administration occupations [1]	29.3
2009	Newfoundland and Labrador	Professional occupations in business and finance [11]	4.8
2009	Newfoundland and Labrador	Administrative and financial supervisors and administrative occupations [12]	10.3
2009	Newfoundland and Labrador	Finance, insurance and related business administrative occupations [13]	1.1
2009	Newfoundland and Labrador	Office support occupations [14]	10.3
2009	Newfoundland and Labrador	Distribution, tracking and scheduling co-ordination occupations [15]	2.8
2009	Newfoundland and Labrador	Natural and applied sciences and related occupations [2]	14.1
2009	Newfoundland and Labrador	Professional occupations in natural and applied sciences [21]	5.1
2009	Newfoundland and Labrador	Technical occupations related to natural and applied sciences [22]	9.1
2009	Newfoundland and Labrador	Health occupations [3]	19
2009	Newfoundland and Labrador	Professional occupations in nursing [30]	5.1
2009	Newfoundland and Labrador	Professional occupations in health (except nursing) [31]	3.7
2009	Newfoundland and Labrador	Technical occupations in health [32]	5.7
2009	Newfoundland and Labrador	Assisting occupations in support of health services [34]	4.6
2009	Newfoundland and Labrador	Occupations in education, law and social, community and government services [4]	26.7
2009	Newfoundland and Labrador	Professional occupations in education services [40]	10.1
2009	Newfoundland and Labrador	Professional occupations in law and social, community and government services [41]	4.9
2009	Newfoundland and Labrador	Paraprofessional occupations in legal, social, community and education services [42]	3.5
2009	Newfoundland and Labrador	Occupations in front-line public protection services [43]	1.6
2009	Newfoundland and Labrador	Care providers and educational, legal and public protection support occupations [44]	6.6
2009	Newfoundland and Labrador	Occupations in art, culture, recreation and sport [5]	4.2
2009	Newfoundland and Labrador	Professional occupations in art and culture [51]	1.4
2009	Newfoundland and Labrador	Technical occupations in art, culture, recreation and sport [52]	2.8
2009	Newfoundland and Labrador	Sales and service occupations [6]	51.3
2009	Newfoundland and Labrador	Retail sales supervisors and specialized sales occupations [62]	4.7
2009	Newfoundland and Labrador	Service supervisors and specialized service occupations [63]	7.6
2009	Newfoundland and Labrador	Sales representatives and salespersons - wholesale and retail trade [64]	9.3
2009	Newfoundland and Labrador	Service representatives and other customer and personal services occupations [65]	9.2
2009	Newfoundland and Labrador	Sales support occupations [66]	9.6
2009	Newfoundland and Labrador	Service support and other service occupations, n.e.c. [67]	10.9
2009	Newfoundland and Labrador	Trades, transport and equipment operators and related occupations [7]	35.6
2009	Newfoundland and Labrador	Industrial, electrical and construction trades [72]	14
2009	Newfoundland and Labrador	Maintenance and equipment operation trades [73]	7.1
2009	Newfoundland and Labrador	Other installers, repairers and servicers and material handlers [74]	2.6
2009	Newfoundland and Labrador	Transport and heavy equipment operation and related maintenance occupations [75]	9.3
2009	Newfoundland and Labrador	Trades helpers, construction labourers and related occupations [76]	2.6
2009	Newfoundland and Labrador	Natural resources, agriculture and related production occupations [8]	10.8
2009	Newfoundland and Labrador	Supervisors and technical occupations in natural resources, agriculture and related production [82]	7.6
2009	Newfoundland and Labrador	Workers in natural resources, agriculture and related production [84]	1.5
2009	Newfoundland and Labrador	Harvesting, landscaping and natural resources labourers [86]	1.7
2009	Newfoundland and Labrador	Occupations in manufacturing and utilities [9]	6.4
2009	Newfoundland and Labrador	Processing, manufacturing and utilities supervisors and central control operators [92]	1.3
2009	Newfoundland and Labrador	Processing and manufacturing machine operators and related production workers [94]	2.7
2009	Newfoundland and Labrador	Assemblers in manufacturing [95]	
2009	Newfoundland and Labrador	Labourers in processing, manufacturing and utilities [96]	2.1
2009	Nova Scotia	Total employed, all occupations	447.1
2009	Nova Scotia	Management occupations [0]	44.4
2009	Nova Scotia	Senior management occupations [00]	2
2009	Nova Scotia	Specialized middle management occupations [01-05]	13.3
2009	Nova Scotia	Middle management occupations in retail and wholesale trade and customer services [06]	18.7
2009	Nova Scotia	Middle management occupations in trades, transportation, production and utilities [07-09]	10.4
2009	Nova Scotia	Business, finance and administration occupations [1]	65.2
2009	Nova Scotia	Professional occupations in business and finance [11]	12.2
2009	Nova Scotia	Administrative and financial supervisors and administrative occupations [12]	16.1
2009	Nova Scotia	Finance, insurance and related business administrative occupations [13]	5.4
2009	Nova Scotia	Office support occupations [14]	22.7
2009	Nova Scotia	Distribution, tracking and scheduling co-ordination occupations [15]	8.7
2009	Nova Scotia	Natural and applied sciences and related occupations [2]	24.9
2009	Nova Scotia	Professional occupations in natural and applied sciences [21]	10.7
2009	Nova Scotia	Technical occupations related to natural and applied sciences [22]	14.2
2009	Nova Scotia	Health occupations [3]	36.5
2009	Nova Scotia	Professional occupations in nursing [30]	8.9
2009	Nova Scotia	Professional occupations in health (except nursing) [31]	7.8
2009	Nova Scotia	Technical occupations in health [32]	9.4
2009	Nova Scotia	Assisting occupations in support of health services [34]	10.4
2009	Nova Scotia	Occupations in education, law and social, community and government services [4]	49.2
2009	Nova Scotia	Professional occupations in education services [40]	17.9
2009	Nova Scotia	Professional occupations in law and social, community and government services [41]	11.1
2009	Nova Scotia	Paraprofessional occupations in legal, social, community and education services [42]	6.9
2009	Nova Scotia	Occupations in front-line public protection services [43]	3.6
2009	Nova Scotia	Care providers and educational, legal and public protection support occupations [44]	9.8
2009	Nova Scotia	Occupations in art, culture, recreation and sport [5]	9.5
2009	Nova Scotia	Professional occupations in art and culture [51]	3.4
2009	Nova Scotia	Technical occupations in art, culture, recreation and sport [52]	6.1
2009	Nova Scotia	Sales and service occupations [6]	120.2
2009	Nova Scotia	Retail sales supervisors and specialized sales occupations [62]	11.7
2009	Nova Scotia	Service supervisors and specialized service occupations [63]	17.2
2009	Nova Scotia	Sales representatives and salespersons - wholesale and retail trade [64]	20.9
2009	Nova Scotia	Service representatives and other customer and personal services occupations [65]	27.5
2009	Nova Scotia	Sales support occupations [66]	17.5
2009	Nova Scotia	Service support and other service occupations, n.e.c. [67]	25.5
2009	Nova Scotia	Trades, transport and equipment operators and related occupations [7]	63.4
2009	Nova Scotia	Industrial, electrical and construction trades [72]	22.4
2009	Nova Scotia	Maintenance and equipment operation trades [73]	13.2
2009	Nova Scotia	Other installers, repairers and servicers and material handlers [74]	7.4
2009	Nova Scotia	Transport and heavy equipment operation and related maintenance occupations [75]	16.3
2009	Nova Scotia	Trades helpers, construction labourers and related occupations [76]	4.1
2009	Nova Scotia	Natural resources, agriculture and related production occupations [8]	15.7
2009	Nova Scotia	Supervisors and technical occupations in natural resources, agriculture and related production [82]	6.5
2009	Nova Scotia	Workers in natural resources, agriculture and related production [84]	6.3
2009	Nova Scotia	Harvesting, landscaping and natural resources labourers [86]	2.9
2009	Nova Scotia	Occupations in manufacturing and utilities [9]	18.2
2009	Nova Scotia	Processing, manufacturing and utilities supervisors and central control operators [92]	3.7
2009	Nova Scotia	Processing and manufacturing machine operators and related production workers [94]	8.1
2009	Nova Scotia	Assemblers in manufacturing [95]	3
2009	Nova Scotia	Labourers in processing, manufacturing and utilities [96]	3.5
2009	New Brunswick	Total employed, all occupations	359.9
